Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,2,58,Chris Livingston,Kentucky,2,9,5,0,1,1.000,1.000,,4.5,2.5,0.0,0.5,0.1,.288,10.6,0.0
2022,NBA,1,24,MarJon Beauchamp,,62,868,334,138,45,.415,.347,.711,14.0,5.4,2.2,0.7,0.7,.037,-4.2,-0.5
2022,NBA,2,59,,,,,,,,,,,,,,,,,,
2021,NBA,2,31,Todd Isaiah (↳IND ↳WAS),,18,135,29,24,8,.222,.192,.500,7.5,1.6,1.3,0.4,-0.3,-0.124,-10.2,-0.3
2020,NBA,1,24,R.J. Hampton (↳DEN),,163,3042,1145,460,299,.410,.342,.680,18.7,7.0,2.8,1.8,0.9,.014,-3.7,-1.3
2020,NBA,2,45,Jordan Nwora (↳MIL),Louisville,157,2683,1216,516,158,.423,.384,.796,17.1,7.7,3.3,1.0,2.4,.042,-3.0,-0.7
2019,NBA,1,30,Kevin Porter (↳DET ↳CLE),USC,196,5928,3008,842,987,.431,.357,.725,30.2,15.3,4.3,5.0,4.0,.032,-1.6,0.7
2018,NBA,1,17,Donte DiVincenzo,Villanova,286,6913,2604,1298,781,.421,.364,.770,24.2,9.1,4.5,2.7,14.0,.098,0.2,3.8
2017,NBA,1,17,D.J. Wilson,Michigan,146,1803,647,452,108,.419,.327,.618,12.3,4.4,3.1,0.7,2.8,.075,-2.6,-0.3
2017,NBA,2,48,Sindarius Thornwell (↳LAC),South Carolina,160,1721,401,206,111,.407,.340,.672,10.8,2.5,1.3,0.7,1.1,.032,-3.1,-0.5
2016,NBA,1,10,Thon Maker,,263,3624,1216,726,161,.435,.327,.680,13.8,4.6,2.8,0.6,6.6,.087,-2.1,-0.1
2016,NBA,2,36,Malcolm Brogdon,Virginia,408,12018,6297,1716,1888,.465,.387,.877,29.5,15.4,4.2,4.6,30.5,.122,1.4,10.3
2016,NBA,2,38,Patrick McCaw (↳GSW),UNLV,199,3373,760,319,270,.420,.305,.785,16.9,3.8,1.6,1.4,4.4,.062,-2.8,-0.6
2015,NBA,1,17,Rashad Vaughn,UNLV,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-0.017,-4.7,-1.2
2015,NBA,2,46,Norman Powell (↳TOR),UCLA,492,11264,5933,1285,751,.466,.388,.825,22.9,12.1,2.6,1.5,23.7,.101,-0.1,5.4
2014,NBA,1,2,Jabari Parker,Duke,310,8535,4380,1703,610,.494,.326,.743,27.5,14.1,5.5,2.0,13.8,.078,-0.8,2.5
2014,NBA,2,31,Damien Inglis,,20,156,36,31,10,.351,.231,.875,7.8,1.8,1.6,0.5,-0.1,-0.024,-5.6,-0.1
2014,NBA,2,36,Johnny O'Bryant,LSU,147,1684,509,352,69,.402,.360,.663,11.5,3.5,2.4,0.5,0.2,.006,-6.2,-1.8
2014,NBA,2,48,Lamar Patterson (↳ATL),Pitt,40,435,93,57,45,.326,.236,.720,10.9,2.3,1.4,1.1,0.1,.006,-5.7,-0.4
2013,NBA,1,15,Giannis Antetokounmpo,,731,23769,16631,7010,3431,.538,.287,.706,32.5,22.8,9.6,4.7,97.4,.197,6.2,49.3
2013,NBA,2,43,Ricky Ledo (↳DAL ↳PHI),Providence,28,277,109,38,21,.336,.371,.769,9.9,3.9,1.4,0.8,-0.6,-0.096,-7.6,-0.4
2012,NBA,1,14,John Henson,UNC,445,8752,3383,2368,496,.540,.250,.568,19.7,7.6,5.3,1.1,20.7,.113,-0.5,3.4
2012,NBA,2,42,Doron Lamb,Kentucky,100,1272,345,95,75,.381,.394,.700,12.7,3.5,1.0,0.8,0.1,.005,-5.8,-1.2
2011,NBA,1,10,Jimmer Fredette (↳SAC),BYU,241,3213,1438,243,331,.409,.372,.879,13.3,6.0,1.0,1.4,2.2,.033,-2.5,-0.4
2011,NBA,2,40,Jon Leuer,Wisconsin,377,5945,2395,1426,301,.484,.328,.767,15.8,6.4,3.8,0.8,13.2,.107,-0.7,2.0
2010,NBA,1,15,Larry Sanders,VCU,238,4635,1520,1345,174,.480,.000,.553,19.5,6.4,5.7,0.7,10.3,.107,-1.1,1.1
2010,NBA,2,37,Darington Hobson,New Mexico,5,39,4,3,6,.154,.000,,7.8,0.8,0.6,1.2,-0.2,-0.225,-13.0,-0.1
2010,NBA,2,44,Jerome Jordan,Tulsa,65,491,180,132,17,.528,,.852,7.6,2.8,2.0,0.3,1.7,.168,-1.0,0.1
2010,NBA,2,47,Tiny Gallon,Oklahoma,,,,,,,,,,,,,,,,
2009,NBA,1,10,Brandon Jennings,,555,16844,7801,1659,3151,.387,.345,.796,30.3,14.1,3.0,5.7,29.9,.085,0.8,11.8
2009,NBA,2,41,Jodie Meeks,Kentucky,539,12110,4988,1120,583,.420,.373,.879,22.5,9.3,2.1,1.1,24.3,.096,-0.6,4.2
2008,NBA,1,8,Joe Alexander,West Virginia,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030,-3.6,-0.3
2008,NBA,2,37,Luc Mbah a Moute,UCLA,689,16038,4380,2800,588,.454,.334,.659,23.3,6.4,4.1,0.9,26.0,.078,-1.5,2.0
