Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,2,49,Emoni Bates,Eastern Michigan,5,32,9,7,1,.333,.333,.500,6.4,1.8,1.4,0.2,0.0,.006,-3.9,0.0
2022,NBA,1,14,Ochai Agbaji (↳UTA),Kansas,71,1423,525,156,78,.427,.359,.795,20.0,7.4,2.2,1.1,1.5,.051,-3.0,-0.4
2022,NBA,2,39,Khalifa Diop,,,,,,,,,,,,,,,,,
2022,NBA,2,49,Isaiah Mobley (↳CLE),USC,13,85,31,21,3,.429,.375,1.000,6.5,2.4,1.6,0.2,0.2,.135,-1.6,0.0
2022,NBA,2,56,Luke Travers,,,,,,,,,,,,,,,,,
2021,NBA,1,3,Evan Mobley,USC,160,5441,2511,1406,435,.534,.229,.673,34.0,15.7,8.8,2.7,15.0,.132,1.2,4.4
2020,NBA,1,5,Isaac Okoro,Auburn,216,5979,1781,623,349,.460,.332,.748,27.7,8.2,2.9,1.6,9.8,.079,-2.5,-0.8
2019,NBA,1,5,Darius Garland,Vanderbilt,257,8725,4763,669,1719,.449,.385,.868,33.9,18.5,2.6,6.7,13.9,.076,-0.3,3.7
2019,NBA,1,26,Dylan Windler,Belmont,87,989,279,197,69,.416,.325,.800,11.4,3.2,2.3,0.8,1.3,.065,-1.6,0.1
2018,NBA,1,8,Collin Sexton,Alabama,278,8561,5184,797,896,.463,.377,.828,30.8,18.6,2.9,3.2,8.2,.046,-2.3,-0.7
2015,NBA,1,24,Tyus Jones (↳MIN),Duke,547,10637,3747,1031,2166,.437,.358,.813,19.4,6.9,1.9,4.0,25.4,.115,0.5,6.8
2015,NBA,2,53,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,,,
2014,NBA,1,1,Andrew Wiggins (↳MIN),Kansas,648,22465,12289,2889,1491,.449,.351,.718,34.7,19.0,4.5,2.3,25.8,.055,-1.6,2.4
2014,NBA,2,33,Joe Harris,Virginia,495,12226,5170,1515,786,.479,.436,.772,24.7,10.4,3.1,1.6,23.1,.091,-0.7,4.1
2013,NBA,1,1,Anthony Bennett,UNLV,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-4.8,-1.3
2013,NBA,1,19,Sergey Karasev,,95,1110,287,140,87,.395,.282,.842,11.7,3.0,1.5,0.9,0.8,.036,-3.4,-0.4
2013,NBA,2,31,Allen Crabbe (↳POR),California,381,9125,3453,1073,434,.425,.387,.831,24.0,9.1,2.8,1.1,13.7,.072,-1.6,0.9
2013,NBA,2,33,Carrick Felix,Arizona State,7,38,19,6,4,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,.057,-3.4,0.0
2012,NBA,1,4,Dion Waiters,Syracuse,419,11835,5505,1108,1163,.412,.346,.694,28.2,13.1,2.6,2.8,8.8,.036,-2.1,-0.4
2012,NBA,1,24,Jared Cunningham (↳DAL),Oregon State,84,605,197,56,39,.347,.306,.674,7.2,2.3,0.7,0.5,0.2,.017,-5.7,-0.6
2012,NBA,2,33,Bernard James (↳DAL),Florida State,92,761,203,212,13,.497,.000,.680,8.3,2.2,2.3,0.1,1.9,.117,-1.8,0.0
