Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,2,Brandon Miller,Alabama,10,287,125,42,17,.441,.256,.739,28.7,12.5,4.2,1.7,0.2,.025,-4.6,-0.2
2023,NBA,1,27,Nick Smith,Arkansas,5,37,13,4,2,.313,.429,,7.4,2.6,0.8,0.4,-0.1,-0.101,-6.4,0.0
2023,NBA,2,34,Colby Jones (↳BOS ↳SAC),Xavier,6,51,19,12,2,.471,.250,1.000,8.5,3.2,2.0,0.3,0.1,.049,-4.1,0.0
2023,NBA,2,39,Mouhamed Gueye (↳BOS ↳ATL),Washington State,2,4,0,0,0,.000,.000,,2.0,0.0,0.0,0.0,0.0,-0.103,-8.5,0.0
2023,NBA,2,41,Amari Bailey,UCLA,1,3,2,2,0,.333,,,3.0,2.0,2.0,0.0,0.0,-0.041,-2.9,0.0
2022,NBA,1,13,Jalen Duren (↳NYK ↳DET),Memphis,75,1901,713,680,100,.644,.000,.621,25.3,9.5,9.1,1.3,5.0,.126,-0.6,0.7
2022,NBA,1,15,Mark Williams,Duke,54,1111,542,410,31,.661,,.695,20.6,10.0,7.6,0.6,4.1,.179,0.9,0.8
2022,NBA,2,45,Josh Minott (↳MIN),Memphis,21,114,56,26,6,.489,.200,.833,5.4,2.7,1.2,0.3,0.3,.134,-2.2,0.0
2021,NBA,1,11,James Bouknight,UConn,65,819,333,124,67,.353,.316,.770,12.6,5.1,1.9,1.0,-0.4,-0.025,-6.7,-1.0
2021,NBA,2,56,Scottie Lewis,Florida,2,7,1,0,1,,,.500,3.5,0.5,0.0,0.5,0.0,.164,6.0,0.0
2021,NBA,2,57,Balša Koprivica (↳DET),Florida State,,,,,,,,,,,,,,,,
2020,NBA,1,3,LaMelo Ball,,173,5529,3408,1093,1279,.425,.375,.831,32.0,19.7,6.3,7.4,10.9,.095,2.7,6.5
2020,NBA,2,32,Vernon Carey,Duke,37,187,72,50,5,.474,.143,.654,5.1,1.9,1.4,0.1,0.2,.058,-6.3,-0.2
2020,NBA,2,56,Grant Riller,College of Charleston,7,27,18,1,3,.667,.500,,3.9,2.6,0.1,0.4,0.1,.177,5.1,0.0
