Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,10,Cason Wallace (↳OKC),Kentucky,12,271,97,30,22,.644,.591,1.000,22.6,8.1,2.5,1.8,1.0,.174,1.6,0.2
2022,NBA,1,26,Wendell Moore (↳HOU ↳MIN),Duke,29,153,42,18,18,.419,.118,.800,5.3,1.4,0.6,0.6,0.1,.028,-2.4,0.0
2020,NBA,1,18,Josh Green,Arizona,178,3339,1046,452,236,.506,.364,.676,18.8,5.9,2.5,1.3,5.7,.082,-2.3,-0.3
2020,NBA,2,31,Tyrell Terry,Stanford,13,59,13,6,6,.353,.000,.333,4.5,1.0,0.5,0.5,0.0,-0.035,-4.8,0.0
2019,NBA,2,37,Deividas Sirvydis (↳DET),,23,160,44,35,6,.300,.314,.500,7.0,1.9,1.5,0.3,-0.1,-0.032,-5.9,-0.2
2018,NBA,1,5,Trae Young (↳ATL),Oklahoma,364,12334,9247,1331,3407,.435,.349,.877,33.9,25.4,3.7,9.4,33.9,.132,3.0,15.6
2018,NBA,2,33,Jalen Brunson,Villanova,357,9631,5201,1124,1513,.489,.392,.813,27.0,14.6,3.1,4.2,27.3,.136,1.1,7.6
2018,NBA,2,54,Shake Milton (↳PHI),SMU,265,5452,2425,627,707,.454,.363,.825,20.6,9.2,2.4,2.7,9.9,.087,-1.9,0.1
2017,NBA,1,9,Dennis Smith,NC State,281,6729,2855,828,1213,.403,.300,.670,23.9,10.2,2.9,4.3,0.8,.006,-2.3,-0.5
2016,NBA,2,46,A.J. Hammons,Purdue,22,163,48,36,4,.405,.500,.450,7.4,2.2,1.6,0.2,0.0,-0.001,-6.6,-0.2
2015,NBA,1,21,Justin Anderson,Virginia,242,3280,1284,621,184,.410,.292,.775,13.6,5.3,2.6,0.8,4.9,.072,-1.5,0.4
2015,NBA,2,52,Satnam Singh Bhamara,,,,,,,,,,,,,,,,,
2013,NBA,1,13,Kelly Olynyk (↳BOS),Gonzaga,690,15598,7085,3577,1544,.479,.369,.795,22.6,10.3,5.2,2.2,40.3,.124,0.9,11.2
2013,NBA,2,44,Mike Muscala (↳ATL),Bucknell,501,7703,3067,1587,432,.456,.379,.839,15.4,6.1,3.2,0.9,19.0,.119,0.1,4.1
2012,NBA,1,17,Tyler Zeller (↳CLE),UNC,414,7254,2873,1820,367,.508,.286,.764,17.5,6.9,4.4,0.9,17.1,.113,-2.0,0.0
2012,NBA,2,55,Darius Johnson-Odom (↳LAL),Marquette,7,21,0,6,2,.000,.000,.000,3.0,0.0,0.9,0.3,-0.3,-0.597,-25.5,-0.1
2011,NBA,1,26,Jordan Hamilton (↳DEN ↳POR),Texas,151,2100,890,429,127,.408,.357,.670,13.9,5.9,2.8,0.8,3.0,.069,-0.1,1.0
2011,NBA,2,57,Tanguy Ngombo,,,,,,,,,,,,,,,,,
2010,NBA,2,50,Solomon Alabi (↳TOR),Florida State,26,181,39,61,5,.314,,.700,7.0,1.5,2.3,0.2,0.0,.010,-4.4,-0.1
2009,NBA,1,24,Byron Mullens (↳OKC),Ohio State,189,3446,1398,790,153,.408,.319,.706,18.2,7.4,4.2,0.8,0.6,.008,-4.0,-1.8
2009,NBA,2,56,Ahmad Nivins,Saint Joseph's,,,,,,,,,,,,,,,,
2008,NBA,2,51,Shan Foster,Vanderbilt,,,,,,,,,,,,,,,,
2007,NBA,2,34,Nick Fazekas,Nevada,26,269,107,89,11,.561,.000,.682,10.3,4.1,3.4,0.4,0.8,.148,0.5,0.2
2007,NBA,2,50,Renaldas Seibutis,,,,,,,,,,,,,,,,,
2007,NBA,2,60,Milovan Raković (↳ORL),,,,,,,,,,,,,,,,,
2006,NBA,1,28,Maurice Ager,Michigan State,82,505,169,46,19,.339,.250,.566,6.2,2.1,0.6,0.2,-0.9,-0.089,-9.4,-0.9
2006,NBA,2,58,J.R. Pinnock (↳LAL),George Washington,,,,,,,,,,,,,,,,
2004,NBA,2,50,Vassilis Spanoulis (↳HOU),,31,272,85,22,28,.319,.172,.810,8.8,2.7,0.7,0.9,-0.1,-0.010,-5.9,-0.3
2003,NBA,1,29,Josh Howard,Wake Forest,507,15350,7270,2886,817,.448,.332,.770,30.3,14.3,5.7,1.6,38.0,.119,0.6,10.0
2003,NBA,2,57,Xue Yuyang,,,,,,,,,,,,,,,,,
2002,NBA,2,55,Mladen Sekularac,,,,,,,,,,,,,,,,,
2001,NBA,2,44,Kyle Hill,Eastern Illinois University,,,,,,,,,,,,,,,,
2001,NBA,2,54,Kenny Satterfield (↳DEN),Cincinnati,75,1062,321,95,176,.335,.218,.746,14.2,4.3,1.3,2.3,-1.1,-0.051,-4.1,-0.6
2000,NBA,1,12,Etan Thomas,Syracuse,409,7084,2341,1927,149,.513,,.603,17.3,5.7,4.7,0.4,14.9,.101,-2.1,-0.2
2000,NBA,2,31,Dan Langhi (↳HOU),Vanderbilt,133,1253,393,199,39,.391,.289,.613,9.4,3.0,1.5,0.3,0.3,.012,-4.6,-0.8
2000,NBA,2,58,Pete Mickeal,Cincinnati,,,,,,,,,,,,,,,,
1999,NBA,2,36,Wang Zhizhi,,137,1256,604,231,39,.417,.385,.735,9.2,4.4,1.7,0.3,2.1,.078,-1.6,0.1
1999,NBA,2,40,Gordan Giriček (↳SAS),,384,8824,3670,941,584,.442,.368,.823,23.0,9.6,2.5,1.5,8.0,.044,-2.5,-1.1
1998,NBA,1,6,Robert Traylor (↳MIL),Michigan,438,6243,2085,1640,312,.474,.167,.577,14.3,4.8,3.7,0.7,13.3,.102,-1.6,0.7
