Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,21,Noah Clowney,Alabama,,,,,,,,,,,,,,,,
2023,NBA,1,22,Dariq Miller-Whitehead,Duke,,,,,,,,,,,,,,,,
2023,NBA,2,51,Jalen Wilson,Kansas,2,7,0,1,0,.000,,,3.5,0.0,0.5,0.0,0.0,-0.076,-6.7,0.0
2021,NBA,1,27,Cameron Thomas,LSU,132,2383,1389,286,173,.443,.319,.853,18.1,10.5,2.2,1.3,2.5,.050,-2.6,-0.3
2021,NBA,2,44,Kessler Edwards,Pepperdine,92,1408,388,238,57,.402,.338,.778,15.3,4.2,2.6,0.6,1.0,.034,-4.0,-0.7
2021,NBA,2,49,Marcus Zegarowski,Creighton,,,,,,,,,,,,,,,,
2021,NBA,2,59,RaiQuan Gray,Florida State,1,35,16,9,7,.500,.400,1.000,35.0,16.0,9.0,7.0,0.1,.106,-2.0,0.0
2020,NBA,1,19,Saddiq Bey (↳DET),Villanova,241,7077,3387,1186,460,.410,.362,.844,29.4,14.1,4.9,1.9,11.8,.080,-0.3,3.0
2020,NBA,2,55,Jay Scrubb (↳LAC),John A. Logan College,24,235,97,36,10,.416,.313,.765,9.8,4.0,1.5,0.4,-0.1,-0.014,-6.6,-0.3
2019,NBA,1,17,Nickeil Alexander-Walker (↳ATL ↳NOP),Virginia Tech,228,4167,1885,536,481,.397,.339,.705,18.3,8.3,2.4,2.1,2.1,.024,-2.2,-0.2
2019,NBA,1,27,Mfiondu Kabengele (↳LAC),Florida State,55,380,143,81,19,.383,.301,.852,6.9,2.6,1.5,0.3,0.4,.055,-3.6,-0.2
2019,NBA,2,31,Nicolas Claxton,Georgia,174,4129,1690,1208,239,.678,.143,.543,23.7,9.7,6.9,1.4,15.6,.181,1.9,4.1
2018,NBA,1,29,Džanan Musa,,49,526,211,91,45,.376,.227,.726,10.7,4.3,1.9,0.9,0.0,.003,-4.6,-0.4
2018,NBA,2,40,Rodions Kurucs,,131,2103,780,406,113,.444,.329,.739,16.1,6.0,3.1,0.9,2.3,.052,-2.8,-0.4
