Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,2,40,Maxwell Lewis (↳LAL),Alabama,6,21,0,1,0,.000,,,3.5,0.0,0.2,0.0,-0.1,-0.277,-18.9,-0.1
2022,NBA,1,21,Christian Braun,Kansas,88,1420,464,235,85,.492,.345,.632,16.1,5.3,2.7,1.0,2.7,.090,-2.1,0.0
2021,NBA,1,26,Bones Hyland,VCU,133,2583,1451,336,386,.403,.368,.852,19.4,10.9,2.5,2.9,3.9,.073,-0.9,0.7
2020,NBA,1,22,Zeke Nnaji,Arizona,148,1947,719,378,50,.524,.378,.649,13.2,4.9,2.6,0.3,4.4,.109,-2.8,-0.4
2018,NBA,1,14,Michael Porter,Missouri,199,5241,3040,1202,216,.504,.412,.794,26.3,15.3,6.0,1.1,15.0,.137,1.3,4.4
2018,NBA,2,43,Justin Jackson (↳ORL),Maryland,,,,,,,,,,,,,,,,
2018,NBA,2,58,Thomas Welsh,UCLA,11,36,18,4,5,.538,.429,.500,3.3,1.6,0.4,0.5,0.1,.162,1.2,0.0
2017,NBA,1,13,Donovan Mitchell (↳UTA),Louisville,423,14431,10448,1771,1896,.449,.366,.841,34.1,24.7,4.2,4.5,39.4,.131,3.2,19.0
2017,NBA,2,49,Vlatko Čančar,,130,1391,461,219,114,.479,.361,.847,10.7,3.5,1.7,0.9,2.5,.087,-2.1,0.0
2017,NBA,2,51,Monte Morris,Iowa State,342,8761,3583,865,1368,.481,.392,.830,25.6,10.5,2.5,4.0,22.7,.124,0.4,5.3
2016,NBA,1,7,Jamal Murray,Kentucky,417,12733,7051,1533,1774,.447,.374,.869,30.5,16.9,3.7,4.3,26.4,.100,0.5,7.9
2016,NBA,1,15,Juan Hernangómez,,339,5269,1711,1131,216,.428,.342,.676,15.5,5.0,3.3,0.6,8.7,.080,-1.9,0.1
2016,NBA,1,19,Malik Beasley,Florida State,429,9431,4646,1150,559,.424,.381,.802,22.0,10.8,2.7,1.3,12.6,.064,-1.1,2.2
2016,NBA,2,53,Petr Cornelie,,13,38,14,14,3,.333,.125,.750,2.9,1.1,1.1,0.2,0.0,-0.015,-8.8,-0.1
2016,NBA,2,56,Daniel Hamilton (↳OKC),UConn,25,232,69,52,30,.394,.357,.500,9.3,2.8,2.1,1.2,0.0,.000,-3.3,-0.1
2015,NBA,1,7,Emmanuel Mudiay,,302,7187,3299,884,1143,.401,.323,.744,23.8,10.9,2.9,3.8,-0.2,-0.001,-3.2,-2.2
2015,NBA,2,57,Nikola Radičević,,,,,,,,,,,,,,,,,
2014,NBA,1,11,Doug McDermott (↳CHI),Creighton,603,12534,5590,1389,608,.474,.412,.812,20.8,9.3,2.3,1.0,20.5,.078,-2.0,0.0
2014,NBA,2,41,Nikola Jokić,,608,18759,12410,6442,4069,.554,.347,.828,30.9,20.4,10.6,6.7,97.4,.249,9.5,54.6
2014,NBA,2,56,Devyn Marble (↳ORL),Iowa,44,457,97,69,29,.304,.222,.375,10.4,2.2,1.6,0.7,-0.3,-0.028,-5.5,-0.4
2013,NBA,1,27,Rudy Gobert (↳UTA),,692,20805,8654,8069,909,.651,.000,.638,30.1,12.5,11.7,1.3,95.6,.221,3.6,29.4
2012,NBA,1,20,Evan Fournier,,673,18950,9389,1821,1712,.443,.378,.799,28.2,14.0,2.7,2.5,30.5,.077,-1.0,4.6
