Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,7,Bilal Coulibaly (↳WAS),,12,314,98,48,24,.500,.432,.556,26.2,8.2,4.0,2.0,0.3,.041,-2.1,0.0
2023,NBA,1,26,Ben Sheppard,Belmont,3,32,13,4,2,.417,.375,,10.7,4.3,1.3,0.7,0.0,.047,-7.4,0.0
2023,NBA,1,29,Julian Strawther (↳DEN),Gonzaga,9,88,43,7,5,.425,.321,.000,9.8,4.8,0.8,0.6,0.1,.066,-2.8,0.0
2023,NBA,2,32,Jalen Pickett (↳DEN),Penn State,6,36,15,5,3,.600,.429,,6.0,2.5,0.8,0.5,0.1,.087,-0.9,0.0
2023,NBA,2,55,Isaiah Wong,Miami (FL),,,,,,,,,,,,,,,,
2022,NBA,1,6,Bennedict Mathurin,Arizona,89,2494,1444,363,141,.433,.323,.824,28.0,16.2,4.1,1.6,1.9,.036,-3.8,-1.1
2022,NBA,2,31,Andrew Nembhard,Gonzaga,86,2275,792,219,385,.445,.344,.788,26.5,9.2,2.5,4.5,1.4,.030,-3.2,-0.7
2022,NBA,2,58,Hugo Besson (↳MIL),,,,,,,,,,,,,,,,,
2021,NBA,1,13,Chris Duarte,Oregon,112,2585,1131,356,188,.407,.346,.815,23.1,10.1,3.2,1.7,0.9,.018,-3.3,-0.9
2021,NBA,2,54,Sandro Mamukelashvili (↳MIL),Seton Hall,88,1098,428,277,88,.446,.338,.729,12.5,4.9,3.1,1.0,2.1,.091,-1.6,0.1
2021,NBA,2,60,Georgios Kalaitzakis (↳MIL),,13,213,86,21,12,.463,.385,.467,16.4,6.6,1.6,0.9,-0.1,-0.024,-7.0,-0.3
2020,NBA,2,54,Cassius Stanley,Duke,33,248,88,39,5,.360,.233,.895,7.5,2.7,1.2,0.2,0.0,-0.006,-7.9,-0.4
2019,NBA,1,18,Goga Bitadze,,197,2390,989,622,164,.496,.248,.682,12.1,5.0,3.2,0.8,6.3,.126,-0.6,0.9
2019,NBA,2,50,Jarrell Brantley (↳UTA),College of Charleston,41,273,110,53,29,.457,.380,.833,6.7,2.7,1.3,0.7,0.6,.108,0.0,0.1
2018,NBA,1,23,Aaron Holiday,UCLA,316,5432,2084,520,688,.413,.377,.842,17.2,6.6,1.6,2.2,5.8,.051,-2.3,-0.4
2018,NBA,2,50,Alize Johnson,Missouri State,76,568,189,228,32,.481,.227,.711,7.5,2.5,3.0,0.4,1.3,.108,-2.4,-0.1
2017,NBA,1,18,T.J. Leaf,UCLA,146,1238,477,283,43,.492,.341,.585,8.5,3.3,1.9,0.3,2.7,.104,-1.8,0.1
2017,NBA,2,47,Ike Anigbogu,UCLA,14,36,13,12,1,.333,,.833,2.6,0.9,0.9,0.1,0.0,.057,-1.1,0.0
2016,NBA,1,20,Caris LeVert (↳BRK),Michigan,403,11361,5744,1546,1586,.436,.343,.734,28.2,14.3,3.8,3.9,17.0,.072,-0.5,4.4
2016,NBA,2,50,Georges Niang,Iowa State,395,6238,2573,851,337,.436,.400,.876,15.8,6.5,2.2,0.9,10.8,.083,-1.3,1.1
2015,NBA,1,11,Myles Turner,Texas,504,14497,6795,3427,618,.498,.355,.771,28.8,13.5,6.8,1.2,39.0,.129,0.8,10.3
2015,NBA,2,43,Joe Young,Oregon,127,1077,429,130,119,.393,.296,.768,8.5,3.4,1.0,0.9,0.4,.016,-4.1,-0.6
2014,NBA,2,57,Louis Labeyrie (↳NYK),,,,,,,,,,,,,,,,,
2013,NBA,1,23,Solomon Hill,Arizona,448,9652,2453,1399,662,.388,.331,.797,21.5,5.5,3.1,1.5,11.9,.059,-2.1,-0.3
2013,NBA,2,53,Colton Iverson (↳BOS),Colorado State,,,,,,,,,,,,,,,,
2012,NBA,1,26,Miles Plumlee,Duke,346,5658,1697,1562,178,.542,,.543,16.4,4.9,4.5,0.5,10.6,.090,-1.9,0.2
2011,NBA,1,15,Kawhi Leonard (↳SAS),San Diego State,639,20149,12555,4087,1915,.494,.389,.858,31.5,19.6,6.4,3.0,91.5,.218,6.7,44.4
2011,NBA,2,42,Dāvis Bertāns (↳SAS),,435,7896,3380,1099,414,.424,.397,.862,18.2,7.8,2.5,1.0,17.8,.108,0.3,4.6
2010,NBA,1,10,Paul George,Fresno State,804,27061,16631,5140,2968,.438,.382,.851,33.7,20.7,6.4,3.7,82.5,.146,4.0,40.9
2010,NBA,2,40,Lance Stephenson,Cincinnati,554,12680,4738,2251,1621,.445,.314,.694,22.9,8.6,4.1,2.9,17.5,.066,-1.3,2.3
2010,NBA,2,57,Ryan Reid (↳OKC),Florida State,5,17,8,2,0,.800,,,3.4,1.6,0.4,0.0,0.1,.142,-2.0,0.0
2009,NBA,1,13,Tyler Hansbrough,UNC,428,7233,2881,1808,181,.439,.136,.738,16.9,6.7,4.2,0.4,20.2,.134,-2.0,0.0
2009,NBA,2,52,A.J. Price,UConn,261,3929,1523,377,567,.380,.316,.742,15.1,5.8,1.4,2.2,4.7,.058,-1.3,0.7
2008,NBA,1,11,Jerryd Bayless (↳POR),Arizona,586,12486,4909,1235,1674,.411,.361,.818,21.3,8.4,2.1,2.9,18.6,.072,-1.6,1.1
2008,NBA,2,41,Nathan Jawai (↳TOR),,45,431,126,106,24,.435,.000,.684,9.6,2.8,2.4,0.5,0.2,.020,-4.4,-0.3
2006,NBA,1,17,Shawne Williams,Memphis,314,5368,1769,945,220,.403,.339,.755,17.1,5.6,3.0,0.7,6.7,.060,-2.2,-0.3
