Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,5,Ausar Thompson,,13,403,153,134,46,.436,.143,.692,31.0,11.8,10.3,3.5,0.6,.072,-0.5,0.2
2023,NBA,2,31,James Nnaji (↳BOS ↳CHO),,,,,,,,,,,,,,,,,
2022,NBA,1,5,Jaden Ivey,Purdue,83,2490,1303,310,412,.423,.347,.750,30.0,15.7,3.7,5.0,0.2,.005,-3.1,-0.7
2022,NBA,2,46,Ismael Kamagate (↳POR ↳DEN),,,,,,,,,,,,,,,,,
2021,NBA,1,1,Cade Cunningham,Oklahoma State,89,2956,1629,476,524,.414,.307,.849,33.2,18.3,5.3,5.9,-1.1,-0.018,-2.2,-0.1
2021,NBA,2,37,JT Thor (↳CHO),Auburn,113,1435,375,234,64,.406,.312,.634,12.7,3.3,2.1,0.6,0.5,.018,-4.3,-0.9
2021,NBA,2,42,Isaiah Livers,Michigan,71,1582,467,200,62,.426,.378,.830,22.3,6.6,2.8,0.9,1.7,.052,-2.2,-0.1
2021,NBA,2,52,Luka Garza,Iowa,63,643,379,168,38,.489,.337,.697,10.2,6.0,2.7,0.6,1.9,.140,-1.8,0.0
2020,NBA,1,7,Killian Hayes,,181,4851,1547,539,944,.377,.277,.797,26.8,8.5,3.0,5.2,-0.6,-0.006,-4.0,-2.4
2019,NBA,1,15,Sekou Doumbouya,,96,1639,542,267,66,.388,.256,.693,17.1,5.6,2.8,0.7,-0.4,-0.013,-6.5,-1.8
2019,NBA,2,45,Isaiah Roby (↳DAL),Nebraska,151,2858,1159,667,216,.485,.351,.675,18.9,7.7,4.4,1.4,4.0,.068,-2.3,-0.2
2018,NBA,2,42,Bruce Brown,Miami (FL),360,8935,3103,1531,871,.481,.343,.752,24.8,8.6,4.3,2.4,17.5,.094,-0.9,2.5
2017,NBA,1,12,Luke Kennard,Duke,364,8460,3578,1028,710,.453,.435,.880,23.2,9.8,2.8,2.0,17.9,.101,-0.2,3.9
2016,NBA,1,18,Henry Ellenson,Marquette,83,787,342,206,49,.371,.336,.773,9.5,4.1,2.5,0.6,0.4,.023,-3.7,-0.3
2016,NBA,2,49,Michael Gbinije,Syracuse,9,32,4,3,2,.100,.000,1.000,3.6,0.4,0.3,0.2,-0.1,-0.136,-12.1,-0.1
2015,NBA,1,8,Stanley Johnson,Arizona,449,8879,2806,1404,679,.391,.305,.748,19.8,6.2,3.1,1.5,6.9,.037,-2.7,-1.6
2015,NBA,2,38,Darrun Hilliard,Villanova,91,859,295,85,71,.377,.304,.747,9.4,3.2,0.9,0.8,0.3,.016,-4.7,-0.6
2014,NBA,2,38,Spencer Dinwiddie,Colorado,477,13244,6546,1475,2507,.417,.334,.792,27.8,13.7,3.1,5.3,29.5,.107,0.4,8.0
2013,NBA,1,8,Kentavious Caldwell-Pope,Georgia,771,22762,8847,2377,1362,.425,.366,.814,29.5,11.5,3.1,1.8,40.0,.084,-0.8,6.7
2013,NBA,2,37,Tony Mitchell,University of North Texas,21,79,22,26,2,.417,1.000,.579,3.8,1.0,1.2,0.1,0.2,.151,0.4,0.0
2013,NBA,2,56,Peyton Siva,Louisville,24,224,54,14,34,.316,.280,.733,9.3,2.3,0.6,1.4,-0.2,-0.032,-6.4,-0.2
2012,NBA,1,9,Andre Drummond,UConn,798,22296,10421,10042,1045,.542,.127,.476,27.9,13.1,12.6,1.3,71.2,.153,1.2,18.1
2012,NBA,2,39,Khris Middleton,Texas A&M,694,21686,11747,3345,2659,.458,.387,.881,31.2,16.9,4.8,3.8,53.0,.117,0.7,15.0
2012,NBA,2,44,Kim English,Missouri,41,407,119,37,26,.375,.280,.724,9.9,2.9,0.9,0.6,0.2,.021,-4.2,-0.2
2011,NBA,1,8,Brandon Knight,Kentucky,451,13202,6301,1385,1777,.411,.352,.807,29.3,14.0,3.1,3.9,11.6,.042,-1.6,1.4
2011,NBA,2,33,Kyle Singler,Duke,356,7794,2326,1026,272,.418,.362,.786,21.9,6.5,2.9,0.8,10.0,.062,-2.5,-0.9
2011,NBA,2,52,Vernon Macklin,Florida,23,135,46,34,5,.543,,.571,5.9,2.0,1.5,0.2,0.5,.161,1.2,0.1
2010,NBA,1,7,Greg Monroe,Georgetown,646,17670,8402,5293,1376,.514,.059,.703,27.4,13.0,8.2,2.1,50.4,.137,1.4,15.3
2010,NBA,2,36,Terrico White,Ole Miss,,,,,,,,,,,,,,,,
2009,NBA,1,15,Austin Daye,Gonzaga,293,4132,1522,764,212,.402,.351,.778,14.1,5.2,2.6,0.7,4.5,.053,-2.0,0.0
2009,NBA,2,35,DaJuan Summers,Georgetown,83,820,278,82,29,.384,.367,.642,9.9,3.3,1.0,0.3,-0.1,-0.008,-5.8,-0.8
2009,NBA,2,39,Jonas Jerebko,,635,11323,3919,2522,525,.457,.363,.770,17.8,6.2,4.0,0.8,25.8,.109,-1.0,2.9
2009,NBA,2,44,Chase Budinger (↳HOU),Arizona,407,7998,3198,1240,473,.430,.352,.797,19.7,7.9,3.0,1.2,13.9,.083,-0.5,2.9
2008,NBA,1,29,D.J. White (↳SEA),Indiana,138,2111,810,437,80,.507,.333,.720,15.3,5.9,3.2,0.6,3.8,.087,-2.1,0.0
2008,NBA,2,59,Deron Washington,Virginia Tech,,,,,,,,,,,,,,,,
2007,NBA,1,15,Rodney Stuckey,Eastern Washington,651,17890,8185,1912,2333,.423,.300,.824,27.5,12.6,2.9,3.6,28.7,.077,-0.9,4.9
2007,NBA,1,27,Arron Afflalo,UCLA,762,20829,8198,2176,1386,.450,.386,.825,27.3,10.8,2.9,1.8,33.5,.077,-1.5,2.4
2007,NBA,2,57,Sammy Mejia,DePaul,,,,,,,,,,,,,,,,
2006,NBA,2,60,Will Blalock,Iowa State,14,166,25,15,17,.300,.200,1.000,11.9,1.8,1.1,1.2,-0.1,-0.032,-5.8,-0.2
2005,NBA,1,26,Jason Maxiell,Cincinnati,618,11379,3481,2576,266,.495,.000,.564,18.4,5.6,4.2,0.4,20.3,.086,-2.5,-1.4
2005,NBA,2,56,Amir Johnson,,870,18323,6102,4692,1073,.570,.332,.673,21.1,7.0,5.4,1.2,55.3,.145,0.3,10.6
2005,NBA,2,60,Alex Acker,Pepperdine,30,234,81,29,16,.370,.320,.500,7.8,2.7,1.0,0.5,-0.2,-0.043,-5.3,-0.2
2004,NBA,2,54,Rickey Paulding,Missouri,,,,,,,,,,,,,,,,
2003,NBA,1,2,Darko Miličić,,468,8638,2813,1971,405,.460,.000,.574,18.5,6.0,4.2,0.9,7.1,.040,-2.4,-0.9
2003,NBA,1,25,Carlos Delfino,,507,11580,4115,1815,887,.401,.365,.758,22.8,8.1,3.6,1.7,22.5,.093,0.5,7.2
2003,NBA,2,58,Andreas Glyniadakis,,13,81,17,8,1,.471,,.500,6.2,1.3,0.6,0.1,-0.2,-0.143,-14.0,-0.2
2002,NBA,1,23,Tayshaun Prince,Kentucky,1017,31576,11272,4332,2406,.455,.367,.756,31.0,11.1,4.3,2.4,63.1,.096,0.3,18.0
2001,NBA,1,9,Rodney White,UNC Charlotte,218,3354,1540,485,237,.424,.314,.749,15.4,7.1,2.2,1.1,1.8,.026,-2.2,-0.1
2001,NBA,2,38,Mehmet Okur,,634,18429,8561,4436,1089,.458,.375,.797,29.1,13.5,7.0,1.7,54.7,.142,1.1,14.5
2000,NBA,1,14,Mateen Cleaves,Michigan State,167,1863,609,175,310,.389,.267,.728,11.2,3.6,1.0,1.9,-0.8,-0.021,-5.6,-1.7
2000,NBA,2,44,Brian Cardinal,Purdue,456,6477,2108,1050,465,.408,.372,.861,14.2,4.6,2.3,1.0,15.4,.114,-0.1,3.2
1999,NBA,2,54,Melvin Levett,Cincinnati,,,,,,,,,,,,,,,,
1998,NBA,1,11,Bonzi Wells,Ball State University,591,15133,7147,2737,1249,.460,.327,.697,25.6,12.1,4.6,2.1,29.4,.093,0.2,8.3
1998,NBA,2,40,Korleone Young,,3,15,13,4,1,.500,.250,1.000,5.0,4.3,1.3,0.3,0.1,.280,9.4,0.0
1997,NBA,1,19,Scot Pollard,Kansas,506,8372,2222,2351,220,.494,.000,.709,16.5,4.4,4.6,0.4,26.6,.153,-0.6,2.9
1997,NBA,2,32,Charles O'Bannon,UCLA,48,399,120,67,29,.400,.000,.870,8.3,2.5,1.4,0.6,0.6,.070,-2.0,0.0
1996,NBA,1,26,Jerome Williams,Georgetown,587,12755,3865,3743,474,.502,.038,.645,21.7,6.6,6.4,0.8,37.9,.143,0.3,7.4
1995,NBA,1,18,Theo Ratliff (↳DET),Wyoming,810,20500,5809,4596,465,.496,.000,.710,25.3,7.2,5.7,0.6,47.9,.112,0.0,10.3
1995,NBA,1,19,Randolph Childress (↳DET ↳POR),Wake Forest,51,405,124,25,49,.328,.273,.800,7.9,2.4,0.5,1.0,-0.2,-0.026,-5.7,-0.4
1995,NBA,2,30,Lou Roe,UMass,66,479,130,92,21,.333,.250,.647,7.3,2.0,1.4,0.3,0.0,-0.001,-4.9,-0.4
1995,NBA,2,58,Don Reid (↳DET),Georgetown,403,5374,1454,1169,143,.530,.000,.658,13.3,3.6,2.9,0.4,13.7,.123,-2.1,-0.2
1994,NBA,1,3,Grant Hill,Duke,1026,34776,17137,6169,4252,.483,.314,.769,33.9,16.7,6.0,4.1,99.9,.138,3.0,43.6
1994,NBA,2,48,Jevon Crudup,Missouri,,,,,,,,,,,,,,,,
1993,NBA,1,10,Lindsey Hunter,Jackson State University,937,23253,7956,2021,2506,.388,.360,.746,24.8,8.5,2.2,2.7,32.9,.068,-0.4,9.4
1993,NBA,1,11,Allan Houston,Tennessee,839,28311,14551,2434,1990,.444,.402,.863,33.7,17.3,2.9,2.4,55.3,.094,0.1,15.0
1992,NBA,1,19,Don MacLean (↳LAC ↳WSB),UCLA,319,6679,3490,1210,404,.455,.284,.765,20.9,10.9,3.8,1.3,9.4,.067,-2.5,-0.9
