Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,4,Amen Thompson,,4,67,25,11,6,.409,.182,.625,16.8,6.3,2.8,1.5,0.0,-0.008,-6.0,-0.1
2023,NBA,1,20,Cam Whitmore,Villanova,3,23,7,3,1,.333,.000,.500,7.7,2.3,1.0,0.3,-0.1,-0.161,-14.5,-0.1
2022,NBA,1,3,Jabari Smith,Auburn,89,2737,1130,639,113,.414,.312,.777,30.8,12.7,7.2,1.3,2.5,.043,-3.5,-1.0
2022,NBA,1,17,Tari Eason,LSU,86,1836,791,522,92,.449,.344,.741,21.3,9.2,6.1,1.1,2.7,.071,-1.5,0.2
2021,NBA,1,2,Jalen Green,,153,5062,3031,556,486,.419,.341,.790,33.1,19.8,3.6,3.2,3.0,.028,-2.4,-0.5
2021,NBA,1,23,Usman Garuba,,99,1210,273,390,81,.475,.367,.630,12.2,2.8,3.9,0.8,2.4,.093,-1.3,0.2
2021,NBA,1,24,Josh Christopher,Arizona State,138,2120,959,257,223,.455,.277,.740,15.4,6.9,1.9,1.6,0.3,.006,-3.8,-1.0
2018,NBA,2,46,De'Anthony Melton (↳PHO),USC,324,7356,2881,1200,905,.412,.373,.770,22.7,8.9,3.7,2.8,12.6,.082,0.6,4.8
2017,NBA,2,43,Isaiah Hartenstein,,259,4093,1443,1242,363,.578,.310,.677,15.8,5.6,4.8,1.4,14.0,.164,1.0,3.1
2017,NBA,2,45,Dillon Brooks (↳MEM),Oregon,355,10197,5129,1115,754,.418,.345,.795,28.7,14.4,3.1,2.1,7.7,.036,-3.7,-4.5
2016,NBA,2,37,Chinanu Onuaku,Louisville,6,74,18,14,4,.583,,1.000,12.3,3.0,2.3,0.7,0.1,.043,-5.4,-0.1
2016,NBA,2,43,Zhou Qi,,19,125,24,22,2,.212,.105,.667,6.6,1.3,1.2,0.1,-0.2,-0.093,-9.6,-0.2
2015,NBA,1,18,Sam Dekker,Wisconsin,201,3097,1094,607,160,.478,.288,.606,15.4,5.4,3.0,0.8,5.4,.083,-1.4,0.5
2015,NBA,2,32,Montrezl Harrell,Louisville,515,10544,6220,2588,675,.619,.108,.664,20.5,12.1,5.0,1.3,42.9,.195,2.6,12.2
2014,NBA,1,25,Clint Capela,,548,14649,6752,5858,535,.627,.000,.536,26.7,12.3,10.7,1.0,61.3,.201,2.1,15.0
2014,NBA,2,42,Nick Johnson,Arizona,28,262,74,39,11,.347,.238,.680,9.4,2.6,1.4,0.4,-0.1,-0.020,-6.5,-0.3
2013,NBA,2,34,Isaiah Canaan,Murray State,235,4799,1913,438,454,.371,.351,.836,20.4,8.1,1.9,1.9,4.3,.043,-2.4,-0.5
2012,NBA,1,12,Jeremy Lamb (↳OKC),UConn,573,11896,5805,2073,904,.439,.342,.857,20.8,10.1,3.6,1.6,26.8,.108,0.6,7.9
2012,NBA,1,16,Royce White,Iowa State,3,9,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-0.121,-16.9,0.0
2012,NBA,1,18,Terrence Jones,Kentucky,234,5562,2431,1334,238,.501,.297,.621,23.8,10.4,5.7,1.0,14.7,.127,0.5,3.6
2011,NBA,1,14,Marcus Morris,Kansas,788,21317,9654,3562,1200,.434,.376,.773,27.1,12.3,4.5,1.5,38.3,.086,-0.7,7.0
2011,NBA,1,23,Nikola Mirotić (↳MIN ↳CHI),,319,7718,3910,1894,407,.423,.359,.808,24.2,12.3,5.9,1.3,20.8,.129,1.6,7.1
2011,NBA,2,38,Chandler Parsons (↳MIN ↳HOU),Florida,440,13246,5571,1972,1201,.462,.373,.713,30.1,12.7,4.5,2.7,28.9,.105,1.1,10.2
2010,NBA,1,14,Patrick Patterson,Kentucky,719,14923,4782,2799,736,.447,.369,.755,20.8,6.7,3.9,1.0,31.9,.102,0.0,7.4
2008,NBA,1,25,Nicolas Batum (↳POR),,1000,29897,10663,5029,3345,.437,.365,.833,29.9,10.7,5.0,3.3,67.6,.108,1.6,27.3
2008,NBA,2,54,Maarty Leunen,Oregon,,,,,,,,,,,,,,,,
2007,NBA,1,26,Aaron Brooks,Oregon,645,13439,6259,1079,1925,.413,.370,.837,20.8,9.7,1.7,3.0,19.2,.069,-1.2,2.7
2007,NBA,2,54,Brad Newley (↳HOU),,,,,,,,,,,,,,,,,
2006,NBA,1,8,Rudy Gay (↳MEM),UConn,1120,34561,17642,6283,2280,.452,.346,.799,30.9,15.8,5.6,2.0,61.0,.085,0.6,22.4
2006,NBA,2,32,Steve Novak,Marquette,467,5657,2177,591,132,.437,.430,.877,12.1,4.7,1.3,0.3,14.5,.123,0.8,4.0
2005,NBA,1,24,Luther Head,Illinois,348,7797,2842,845,747,.423,.388,.773,22.4,8.2,2.4,2.1,14.7,.090,0.1,4.2
2004,NBA,2,55,Luis Flores (↳DAL ↳GSW),Manhattan College,16,77,35,3,11,.483,.500,1.000,4.8,2.2,0.2,0.7,0.0,-0.020,-4.8,0.0
2003,NBA,2,44,Malick Badiane,,,,,,,,,,,,,,,,,
