Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,1,Victor Wembanyama,,13,392,251,124,31,.429,.284,.778,30.2,19.3,9.5,2.4,-0.3,-0.038,-3.3,-0.1
2023,NBA,2,33,Leonard Miller (↳MIN),,1,2,0,1,0,.000,,,2.0,0.0,1.0,0.0,0.0,-0.399,-25.4,0.0
2023,NBA,2,44,Sidy Cissoko,,,,,,,,,,,,,,,,,
2022,NBA,1,9,Jeremy Sochan,Baylor,69,1831,752,365,201,.452,.272,.702,26.5,10.9,5.3,2.9,0.1,.003,-4.1,-1.0
2022,NBA,1,20,Malaki Branham,Ohio State,79,1818,786,199,159,.438,.297,.835,23.0,9.9,2.5,2.0,-0.3,-0.009,-5.4,-1.6
2022,NBA,1,25,Blake Wesley,Notre Dame,41,690,191,83,102,.323,.377,.587,16.8,4.7,2.0,2.5,-1.6,-0.113,-9.6,-1.3
2022,NBA,2,38,Kennedy Chandler (↳MEM),Tennessee,36,281,78,38,58,.422,.133,.462,7.8,2.2,1.1,1.6,0.3,.044,-2.7,0.0
2021,NBA,1,12,Joshua Primo,Alabama,54,1058,316,126,99,.372,.302,.750,19.6,5.9,2.3,1.8,-0.1,-0.006,-5.1,-0.8
2021,NBA,2,41,Joe Wieskamp,Iowa,38,255,70,18,12,.329,.309,.538,6.7,1.8,0.5,0.3,0.1,.013,-5.3,-0.2
2020,NBA,1,11,Devin Vassell,Florida State,180,4431,2072,660,353,.432,.371,.807,24.6,11.5,3.7,2.0,6.5,.070,-0.5,1.7
2020,NBA,2,41,Tre Jones,Duke,184,3654,1463,450,777,.467,.268,.840,19.9,8.0,2.4,4.2,6.9,.091,-1.1,0.8
2019,NBA,1,19,Luka Šamanić,,48,534,220,112,37,.441,.287,.617,11.1,4.6,2.3,0.8,0.3,.029,-3.6,-0.2
2019,NBA,1,29,Keldon Johnson,Kentucky,236,7116,3894,1317,528,.467,.363,.750,30.2,16.5,5.6,2.2,10.9,.074,-1.2,1.5
2019,NBA,2,49,Quinndary Weatherspoon,Mississippi State,42,272,88,32,24,.452,.188,.826,6.5,2.1,0.8,0.6,0.2,.030,-5.5,-0.2
2018,NBA,1,18,Lonnie Walker,Miami (FL),275,5775,2779,633,416,.426,.354,.798,21.0,10.1,2.3,1.5,4.5,.037,-2.5,-0.7
2018,NBA,2,49,Chimezie Metu,USC,214,2719,1198,718,152,.491,.295,.757,12.7,5.6,3.4,0.7,4.1,.072,-1.8,0.1
2017,NBA,1,29,Derrick White,Colorado,355,9436,4184,1194,1373,.448,.354,.845,26.6,11.8,3.4,3.9,24.1,.123,1.5,8.5
2017,NBA,2,59,Jaron Blossomgame,Clemson,27,439,114,98,13,.443,.256,.769,16.3,4.2,3.6,0.5,0.3,.030,-3.8,-0.2
2016,NBA,1,29,Dejounte Murray,Washington,406,11364,5763,2361,2053,.459,.338,.786,28.0,14.2,5.8,5.1,22.1,.093,1.6,10.3
2015,NBA,1,26,Nikola Milutinov,,,,,,,,,,,,,,,,,
2015,NBA,2,55,Cady Lalanne,UMass,,,,,,,,,,,,,,,,
2014,NBA,1,30,Kyle Anderson,UCLA,586,12839,4103,2634,1551,.483,.343,.713,21.9,7.0,4.5,2.6,32.8,.123,1.9,12.5
2014,NBA,2,58,Jordan McRae (↳PHI),Tennessee,123,1696,846,225,167,.417,.355,.772,13.8,6.9,1.8,1.4,1.7,.048,-2.1,0.0
2014,NBA,2,60,Cory Jefferson (↳BRK),Baylor,58,581,205,161,16,.444,.125,.583,10.0,3.5,2.8,0.3,0.9,.071,-3.3,-0.2
2013,NBA,1,28,Livio Jean-Charles,,,,,,,,,,,,,,,,,
2013,NBA,2,58,Deshaun Thomas,Ohio State,,,,,,,,,,,,,,,,
2012,NBA,2,59,Marcus Denmon,Missouri,,,,,,,,,,,,,,,,
2011,NBA,1,29,Cory Joseph,Texas,796,17435,5600,1994,2412,.442,.350,.787,21.9,7.0,2.5,3.0,30.4,.084,-1.1,4.0
2011,NBA,2,59,Ádám Hanga,,,,,,,,,,,,,,,,,
2010,NBA,1,20,James Anderson,Oklahoma State,247,4320,1422,560,291,.411,.321,.755,17.5,5.8,2.3,1.2,3.3,.037,-2.7,-0.8
2010,NBA,2,49,Ryan Richards,,,,,,,,,,,,,,,,,
2009,NBA,2,37,DeJuan Blair,Pitt,424,7054,2865,2153,349,.524,.000,.608,16.6,6.8,5.1,0.8,19.0,.129,-1.2,1.4
2009,NBA,2,51,Jack McClinton,Miami (FL),,,,,,,,,,,,,,,,
2009,NBA,2,53,Nando De Colo,,119,1414,453,211,203,.429,.363,.835,11.9,3.8,1.8,1.7,2.4,.081,-0.7,0.5
2008,NBA,1,26,George Hill,IUPUI,915,24501,9545,2731,2807,.457,.380,.806,26.8,10.4,3.0,3.1,71.0,.139,1.1,19.4
2008,NBA,2,45,Goran Dragić (↳PHO),,946,25603,12568,2816,4405,.459,.362,.766,27.1,13.3,3.0,4.7,56.7,.106,0.5,15.9
2008,NBA,2,57,James Gist,Maryland,,,,,,,,,,,,,,,,
2007,NBA,1,28,Tiago Splitter,,355,6812,2816,1779,423,.555,.143,.697,19.2,7.9,5.0,1.2,25.3,.178,1.1,5.4
2007,NBA,2,33,Marcus Williams,Arizona,13,39,14,12,3,.318,,,3.0,1.1,0.9,0.2,-0.1,-0.084,-5.4,0.0
2007,NBA,2,58,Georgios Printezis (↳TOR),,,,,,,,,,,,,,,,,
2006,NBA,2,59,Damir Markota (↳MIL),,30,170,51,31,6,.365,.375,.636,5.7,1.7,1.0,0.2,-0.2,-0.070,-8.5,-0.3
2005,NBA,1,28,Ian Mahinmi,,618,10353,3209,2705,357,.533,.160,.612,16.8,5.2,4.4,0.6,26.1,.121,-2.0,0.1
2004,NBA,1,28,Beno Udrih,,831,18185,6952,1712,2858,.463,.349,.833,21.9,8.4,2.1,3.4,31.4,.083,-0.9,4.9
2004,NBA,2,52,Romain Sato,Xavier,,,,,,,,,,,,,,,,
2004,NBA,2,57,Sergei Karaulov,,,,,,,,,,,,,,,,,
2003,NBA,1,28,Leandro Barbosa (↳PHO),,850,18386,9035,1720,1775,.459,.387,.821,21.6,10.6,2.0,2.1,37.4,.098,-0.2,8.6
2002,NBA,1,26,John Salmons (↳PHI),Miami (FL),895,23672,8292,2603,2183,.431,.366,.799,26.4,9.3,2.9,2.4,33.9,.069,-0.9,6.7
2002,NBA,2,56,Luis Scola,,743,19001,8882,4941,1194,.493,.339,.740,25.6,12.0,6.7,1.6,45.7,.115,-0.7,6.4
2002,NBA,2,57,Randy Holcomb (↳PHI),San Diego State,4,11,2,1,0,1.000,,,2.8,0.5,0.3,0.0,0.0,.150,-1.7,0.0
2001,NBA,1,28,Tony Parker,,1254,38279,19473,3396,7036,.491,.324,.751,30.5,15.5,2.7,5.6,111.3,.140,1.1,30.1
2001,NBA,2,56,Robertas Javtokas,,,,,,,,,,,,,,,,,
2001,NBA,2,58,Bryan Bracey,Oregon,,,,,,,,,,,,,,,,
2000,NBA,2,41,Chris Carrawell,Duke,,,,,,,,,,,,,,,,
2000,NBA,2,54,Cory Hightower,Indian Hills Community College,,,,,,,,,,,,,,,,
1999,NBA,1,29,Leon Smith (↳DAL),,15,104,33,33,3,.393,,.647,6.9,2.2,2.2,0.2,0.2,.112,-2.9,0.0
1999,NBA,2,57,Manu Ginóbili,,1057,26859,14043,3697,4001,.447,.369,.827,25.4,13.3,3.5,3.8,106.4,.190,5.0,47.6
1998,NBA,1,24,Felipe López (↳VAN),St. John's,249,4145,1448,604,252,.432,.327,.659,16.6,5.8,2.4,1.0,3.1,.036,-2.5,-0.5
1998,NBA,2,52,Derrick Dial,Eastern Michigan,82,687,253,133,63,.372,.190,.672,8.4,3.1,1.6,0.8,0.6,.045,-2.2,0.0
1997,NBA,1,1,Tim Duncan,Wake Forest,1392,47368,26496,15091,4225,.506,.179,.696,34.0,19.0,10.8,3.0,206.4,.209,5.6,91.1
1995,NBA,1,29,Cory Alexander,Virginia,307,4847,1677,481,834,.389,.354,.756,15.8,5.5,1.6,2.7,3.0,.030,-1.7,0.4
1994,NBA,1,22,Bill Curley (↳DET),Boston College,147,1614,394,290,60,.444,.222,.743,11.0,2.7,2.0,0.4,1.6,.047,-5.3,-1.3
1993,NBA,2,47,Chris Whitney,Clemson,579,10052,3738,815,1613,.395,.361,.875,17.4,6.5,1.4,2.8,21.2,.101,-0.2,4.6
1992,NBA,1,18,Tracy Murray (↳POR ↳MIL),UCLA,659,12103,5943,1649,508,.430,.388,.829,18.4,9.0,2.5,0.8,24.1,.096,-0.1,5.8
1992,NBA,2,44,Henry Williams,UNC Charlotte,,,,,,,,,,,,,,,,
1991,NBA,2,49,Greg Sutton,Oral Roberts,168,1946,761,153,284,.396,.361,.743,11.6,4.5,0.9,1.7,1.0,.024,-3.6,-0.8
1990,NBA,1,24,Dwayne Schintzius,Florida,217,1950,587,536,93,.404,.125,.638,9.0,2.7,2.5,0.4,1.0,.024,-5.0,-1.5
1990,NBA,2,43,Tony Massenburg,Maryland,683,12291,4238,2964,266,.470,.091,.705,18.0,6.2,4.3,0.4,15.6,.061,-4.5,-7.8
1990,NBA,2,54,Sean Higgins,Michigan,220,3334,1375,402,226,.428,.321,.850,15.2,6.3,1.8,1.0,0.4,.006,-4.7,-2.3
1989,NBA,1,3,Sean Elliott,Arizona,742,24502,10544,3204,1897,.465,.375,.799,33.0,14.2,4.3,2.6,55.7,.109,0.2,13.5
1988,NBA,1,10,Willie Anderson,Georgia,555,15974,6771,2082,2105,.471,.266,.786,28.8,12.2,3.8,3.8,27.9,.084,0.1,8.6
1988,NBA,2,27,Shelton Jones,St. John's,51,682,244,113,42,.445,.000,.725,13.4,4.8,2.2,0.8,0.3,.022,-3.3,-0.2
1988,NBA,3,56,Barry Sumpter,Austin Peay State University,1,1,0,0,0,.000,,,1.0,0.0,0.0,0.0,0.0,-0.894,-49.2,0.0
1988,NBA,3,75,Archie Marshall,Kansas,,,,,,,,,,,,,,,,
1987,NBA,1,1,David Robinson,United States Naval Academy,987,34271,20790,10497,2441,.518,.250,.736,34.7,21.1,10.6,2.5,178.7,.250,7.5,81.9
1987,NBA,1,23,Greg Anderson,Houston,680,14040,4953,4246,385,.492,.087,.557,20.6,7.3,6.2,0.6,18.7,.064,-3.0,-3.7
1987,NBA,2,27,Nate Blackwell,Temple,10,112,37,6,18,.366,.182,.833,11.2,3.7,0.6,1.8,-0.1,-0.045,-7.2,-0.1
1987,NBA,3,50,Phil Zevenbergen,Washington,8,58,30,13,3,.556,,.000,7.3,3.8,1.6,0.4,0.0,.041,-2.4,0.0
1987,NBA,4,73,Todd May,Pikeville College,,,,,,,,,,,,,,,,
1987,NBA,5,96,Dennis Williams,Georgia,,,,,,,,,,,,,,,,
1987,NBA,6,119,Ricky Brown,University of South Alabama,,,,,,,,,,,,,,,,
1987,NBA,7,142,Raynard Davis,Texas,,,,,,,,,,,,,,,,
1986,NBA,1,10,Johnny Dawkins,Duke,541,14859,5984,1336,2997,.456,.330,.857,27.5,11.1,2.5,5.5,21.8,.070,-0.9,4.2
