Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,2,52,Toumani Camara (↳POR),Dayton,12,304,67,54,16,.338,.250,.684,25.3,5.6,4.5,1.3,0.2,.030,-3.9,-0.1
2021,NBA,1,29,Day'Ron Sharpe (↳BRK),UNC,92,1112,505,438,59,.556,.400,.621,12.1,5.5,4.8,0.6,3.2,.138,-2.8,-0.2
2020,NBA,1,10,Jalen Smith,Maryland,155,2504,1264,792,105,.497,.313,.759,16.2,8.2,5.1,0.7,5.8,.112,-1.3,0.4
2019,NBA,1,6,Jarrett Culver (↳MIN),Texas Tech,144,2480,934,402,173,.401,.276,.509,17.2,6.5,2.8,1.2,-0.1,-0.001,-4.5,-1.6
2019,NBA,2,32,KZ Okpala (↳MIA),Stanford,98,965,222,148,47,.409,.286,.667,9.8,2.3,1.5,0.5,1.0,.050,-4.7,-0.7
2018,NBA,1,1,Deandre Ayton,Arizona,315,9666,5194,3290,511,.595,.263,.756,30.7,16.5,10.4,1.6,31.7,.157,1.0,7.2
2018,NBA,1,16,Zhaire Smith (↳PHI),Texas Tech,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.1
2018,NBA,2,31,Élie Okobo,,108,1677,523,188,242,.395,.315,.737,15.5,4.8,1.7,2.2,0.5,.014,-4.1,-0.9
2018,NBA,2,59,George King,Colorado,5,25,1,6,0,.000,.000,.500,5.0,0.2,1.2,0.0,-0.1,-0.225,-17.2,-0.1
2017,NBA,1,4,Josh Jackson,Kansas,291,6718,3276,1159,534,.416,.292,.680,23.1,11.3,4.0,1.8,-1.7,-0.012,-3.8,-3.1
2017,NBA,2,32,Davon Reed,Miami (FL),122,1299,373,212,92,.408,.385,.667,10.6,3.1,1.7,0.8,1.5,.054,-2.9,-0.3
2017,NBA,2,54,Alec Peters,Valparaiso,20,225,82,37,12,.378,.310,.800,11.3,4.1,1.9,0.6,0.3,.055,-2.8,0.0
2016,NBA,1,4,Dragan Bender,,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-3.9,-1.9
2016,NBA,1,13,Georgios Papagiannis (↳SAC),,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2
2016,NBA,1,28,Skal Labissière (↳SAC),Kentucky,148,2595,1069,662,152,.492,.353,.748,17.5,7.2,4.5,1.0,4.4,.081,-2.3,-0.2
2016,NBA,2,34,Tyler Ulis,Kentucky,133,2782,998,223,537,.403,.280,.808,20.9,7.5,1.7,4.0,0.5,.008,-3.6,-1.1
2015,NBA,1,13,Devin Booker,Kentucky,534,18037,12806,2128,2562,.461,.357,.869,33.8,24.0,4.0,4.8,36.7,.098,0.9,13.4
2015,NBA,2,44,Andrew Harrison (↳MEM),Kentucky,145,2987,1012,287,399,.373,.294,.779,20.6,7.0,2.0,2.8,3.2,.051,-2.8,-0.6
2014,NBA,1,14,T.J. Warren,NC State,374,10240,5456,1493,437,.506,.354,.780,27.4,14.6,4.0,1.2,20.8,.097,-0.3,4.2
