Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,12,Dereck Lively (↳DAL),Duke,12,289,106,88,15,.730,.000,.636,24.1,8.8,7.3,1.3,1.1,.176,-1.1,0.1
2023,NBA,2,37,Hunter Tyson (↳DEN),Clemson,4,11,2,3,0,.333,.000,,2.8,0.5,0.8,0.0,0.0,-0.025,-14.5,0.0
2023,NBA,2,50,Keyontae Johnson,Kansas State,1,6,0,0,0,.000,,,6.0,0.0,0.0,0.0,0.0,-0.175,-17.3,0.0
2022,NBA,1,2,Chet Holmgren,Gonzaga,13,394,222,103,36,.546,.438,.904,30.3,17.1,7.9,2.8,1.6,.199,4.6,0.6
2022,NBA,1,12,Jalen Williams,Santa Clara,88,2707,1284,390,295,.521,.358,.826,30.8,14.6,4.4,3.4,6.6,.117,0.0,1.4
2022,NBA,1,30,Peyton Watson (↳DEN),UCLA,35,357,131,59,19,.515,.357,.536,10.2,3.7,1.7,0.5,0.6,.080,-2.2,0.0
2022,NBA,2,34,Jaylin Williams,Arkansas,57,1011,317,268,86,.431,.388,.717,17.7,5.6,4.7,1.5,2.1,.100,-1.7,0.1
2021,NBA,1,6,Josh Giddey,,143,4424,2102,1095,875,.457,.296,.730,30.9,14.7,7.7,6.1,4.4,.048,0.1,2.3
2021,NBA,1,16,Alperen Şengün (↳HOU),,157,3977,1999,1153,534,.528,.277,.708,25.3,12.7,7.3,3.4,8.7,.105,0.9,2.9
2021,NBA,1,18,Tre Mann,Florida,131,2570,1159,332,215,.395,.339,.783,19.6,8.8,2.5,1.6,0.7,.013,-4.0,-1.3
2021,NBA,2,34,Rokas Jokubaitis (↳NYK),,,,,,,,,,,,,,,,,
2021,NBA,2,36,Miles McBride (↳NYK),West Virginia,114,1182,332,95,115,.344,.284,.661,10.4,2.9,0.8,1.0,1.2,.047,-2.8,-0.2
2021,NBA,2,55,Aaron Wiggins,Maryland,131,2620,934,404,155,.490,.343,.772,20.0,7.1,3.1,1.2,4.0,.073,-3.2,-0.8
2020,NBA,1,25,Immanuel Quickley (↳NYK),Kentucky,236,5718,3023,768,728,.419,.367,.860,24.2,12.8,3.3,3.1,15.4,.129,1.1,4.5
2020,NBA,2,53,Cassius Winston (↳WAS),Michigan State,29,137,55,10,19,.409,.435,.900,4.7,1.9,0.3,0.7,0.1,.051,-4.9,-0.1
2019,NBA,1,21,Brandon Clarke (↳MEM),Gonzaga,237,5051,2534,1325,334,.604,.290,.705,21.3,10.7,5.6,1.4,19.9,.189,2.8,6.1
2018,NBA,2,53,Devon Hall,Virginia,11,81,20,7,13,.200,.235,.500,7.4,1.8,0.6,1.2,-0.2,-0.116,-6.7,-0.1
2018,NBA,2,57,Kevin Hervey,UT Arlington,10,52,17,12,5,.259,.150,,5.2,1.7,1.2,0.5,-0.1,-0.085,-5.1,0.0
2017,NBA,1,21,Terrance Ferguson,,204,4000,924,263,144,.404,.334,.753,19.6,4.5,1.3,0.7,4.4,.053,-4.0,-2.1
2015,NBA,1,14,Cameron Payne,Murray State,340,6196,2713,746,1150,.422,.369,.820,18.2,8.0,2.2,3.4,9.8,.076,-0.6,2.3
2015,NBA,2,48,Dakari Johnson,Kentucky,31,161,55,34,8,.564,,.550,5.2,1.8,1.1,0.3,0.6,.178,-0.3,0.1
2014,NBA,1,21,Mitch McGary,Michigan,52,557,227,183,17,.527,.000,.580,10.7,4.4,3.5,0.3,1.3,.108,-2.6,-0.1
2014,NBA,1,29,Josh Huestis,Stanford,76,1068,187,180,23,.346,.312,.240,14.1,2.5,2.4,0.3,0.7,.030,-3.5,-0.4
2013,NBA,1,12,Steven Adams,Pitt,706,18944,6518,5788,1079,.587,.067,.536,26.8,9.2,8.2,1.5,59.3,.150,0.5,12.1
2013,NBA,1,29,Archie Goodwin (↳GSW ↳PHO),Kentucky,165,2396,1040,331,206,.429,.236,.700,14.5,6.3,2.0,1.2,1.1,.022,-3.0,-0.6
2013,NBA,2,32,Álex Abrines,,174,2777,924,248,88,.387,.368,.880,16.0,5.3,1.4,0.5,5.0,.086,-1.9,0.1
2012,NBA,1,28,Perry Jones,Baylor,143,1675,488,252,54,.420,.293,.660,11.7,3.4,1.8,0.4,1.7,.048,-3.5,-0.6
2011,NBA,1,24,Reggie Jackson,Boston College,783,19956,10008,2289,3296,.423,.344,.855,25.5,12.8,2.9,4.2,34.5,.083,-0.4,8.3
2010,NBA,1,18,Eric Bledsoe (↳LAC),Kentucky,756,21021,10348,2937,3545,.452,.336,.784,27.8,13.7,3.9,4.7,46.1,.105,1.6,18.8
2010,NBA,1,21,Craig Brackins (↳NOH ↳PHI),Iowa State,17,121,30,19,9,.265,.214,.500,7.1,1.8,1.1,0.5,-0.2,-0.089,-9.9,-0.2
2010,NBA,1,26,Quincy Pondexter (↳NOH),Washington,355,5530,1609,640,263,.423,.356,.746,15.6,4.5,1.8,0.7,9.7,.084,-1.8,0.3
2010,NBA,2,51,Magnum Rolle,Louisiana Tech,,,,,,,,,,,,,,,,
2009,NBA,1,3,James Harden,Arizona State,1006,34948,24792,5679,7043,.442,.363,.860,34.7,24.6,5.6,7.0,158.7,.218,6.7,76.3
2009,NBA,1,25,Rodrigue Beaubois (↳DAL),,182,2896,1286,338,374,.439,.325,.810,15.9,7.1,1.9,2.1,4.8,.079,-0.1,1.4
2008,NBA,1,4,Russell Westbrook,UCLA,1105,37876,24605,8037,9221,.438,.305,.777,34.3,22.3,7.3,8.3,108.7,.138,4.0,57.0
2008,NBA,1,24,Serge Ibaka,,919,25127,11028,6513,749,.513,.359,.757,27.3,12.0,7.1,0.8,73.0,.139,0.5,15.7
2008,NBA,2,32,Walter Sharpe (↳DET),UAB,8,20,8,3,0,.364,.000,.000,2.5,1.0,0.4,0.0,-0.1,-0.131,-10.1,0.0
2008,NBA,2,46,Trent Plaisted,Brigham Young University Hawaii,,,,,,,,,,,,,,,,
2008,NBA,2,50,DeVon Hardin,California,,,,,,,,,,,,,,,,
2008,NBA,2,56,Sasha Kaun,Kansas,25,95,23,26,3,.529,,.455,3.8,0.9,1.0,0.1,0.2,.096,-2.8,0.0
2007,NBA,1,2,Kevin Durant,Texas,998,36617,27261,7045,4328,.499,.386,.885,36.7,27.3,7.1,4.3,163.6,.215,6.8,81.2
2007,NBA,2,31,Carl Landry (↳HOU),Purdue,513,11524,5541,2533,355,.535,.300,.785,22.5,10.8,4.9,0.7,35.9,.149,-0.3,5.0
2007,NBA,2,35,Glen Davis (↳BOS),LSU,514,10865,4111,2236,457,.447,.182,.700,21.1,8.0,4.4,0.9,18.6,.082,-2.6,-1.7
2006,NBA,1,10,Mouhamed Sene,,47,260,103,75,1,.427,,.589,5.5,2.2,1.6,0.0,0.3,.052,-5.1,-0.2
2006,NBA,2,40,Denham Brown,UConn,,,,,,,,,,,,,,,,
2006,NBA,2,53,Yotam Halperin,,,,,,,,,,,,,,,,,
2005,NBA,1,25,Johan Petro,,473,7262,2202,1836,227,.462,.154,.678,15.4,4.7,3.9,0.5,5.5,.037,-4.6,-4.6
2005,NBA,2,48,Mickaël Gelabale,,145,2348,670,330,115,.470,.316,.815,16.2,4.6,2.3,0.8,3.0,.062,-2.1,0.0
2005,NBA,2,55,Lawrence Roberts (↳MEM),Mississippi State,87,1150,334,310,35,.452,.000,.688,13.2,3.8,3.6,0.4,2.5,.106,-1.9,0.0
2004,NBA,1,12,Robert Swift,,97,1500,416,376,20,.506,,.610,15.5,4.3,3.9,0.2,1.7,.054,-3.8,-0.7
2004,NBA,2,35,Andre Emmett (↳MEM),Texas Tech,14,73,20,8,1,.462,.000,.615,5.2,1.4,0.6,0.1,0.1,.040,-5.5,-0.1
