Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,19,Brandin Podziemski,Santa Clara,8,116,56,31,16,.500,.500,.857,14.5,7.0,3.9,2.0,0.3,.132,1.9,0.1
2022,NBA,1,28,Patrick Baldwin,UW-Milwaukee,34,237,122,41,12,.387,.376,.667,7.0,3.6,1.2,0.4,0.1,.020,-2.7,0.0
2022,NBA,2,51,Tyrese Martin (↳ATL),UConn,16,66,21,12,2,.391,.143,1.000,4.1,1.3,0.8,0.1,0.0,-0.010,-7.4,-0.1
2022,NBA,2,55,Gui Santos,,1,4,2,3,1,.333,.000,,4.0,2.0,3.0,1.0,0.0,.165,4.2,0.0
2021,NBA,1,7,Jonathan Kuminga,,149,2827,1465,503,198,.508,.339,.682,19.0,9.8,3.4,1.3,5.6,.096,-2.0,0.0
2021,NBA,1,14,Moses Moody,Arkansas,128,1649,628,223,89,.459,.363,.728,12.9,4.9,1.7,0.7,3.2,.094,-1.8,0.1
2020,NBA,1,2,James Wiseman,Memphis,90,1759,925,510,58,.539,.271,.665,19.5,10.3,5.7,0.6,2.2,.061,-4.2,-1.0
2020,NBA,2,48,Nico Mannion,Arizona,30,364,123,46,70,.342,.367,.821,12.1,4.1,1.5,2.3,0.2,.029,-3.9,-0.2
2020,NBA,2,51,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,
2019,NBA,1,28,Jordan Poole,Michigan,278,7350,4381,725,950,.420,.336,.876,26.4,15.8,2.6,3.4,9.2,.060,-1.9,0.2
2019,NBA,2,41,Eric Paschall (↳GSW),Villanova,158,3086,1552,509,214,.494,.326,.758,19.5,9.8,3.2,1.4,5.0,.078,-2.2,-0.1
2019,NBA,2,58,Miye Oni (↳UTA),Yale,80,672,145,108,37,.350,.330,.750,8.4,1.8,1.4,0.5,1.0,.070,-2.5,-0.1
2018,NBA,1,28,Jacob Evans,Cincinnati,59,622,168,66,54,.337,.315,.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.4,-0.8
2016,NBA,1,30,Damian Jones,Vanderbilt,248,3548,1266,814,180,.663,.383,.705,14.3,5.1,3.3,0.7,10.5,.142,-1.1,0.9
2015,NBA,1,30,Kevon Looney,UCLA,462,8278,2378,2630,740,.583,.169,.609,17.9,5.1,5.7,1.6,30.3,.175,0.4,5.1
2012,NBA,1,7,Harrison Barnes,UNC,840,26753,11917,4214,1518,.455,.378,.810,31.8,14.2,5.0,1.8,52.0,.093,-0.9,7.7
2012,NBA,1,30,Festus Ezeli,Vanderbilt,170,2394,712,725,63,.513,,.557,14.1,4.2,4.3,0.4,5.9,.119,-2.0,0.0
2012,NBA,2,35,Draymond Green,Michigan State,767,22009,6656,5322,4284,.449,.316,.714,28.7,8.7,6.9,5.6,58.1,.127,2.5,25.1
2012,NBA,2,52,Ognjen Kuzmić,,37,164,35,38,8,.520,,.600,4.4,0.9,1.0,0.2,0.2,.061,-5.6,-0.2
2011,NBA,1,11,Klay Thompson,Washington State,728,23902,14322,2582,1690,.455,.415,.852,32.8,19.7,3.5,2.3,51.8,.104,0.6,15.8
2011,NBA,2,44,Charles Jenkins,Hofstra,110,1334,408,100,214,.434,.182,.754,12.1,3.7,0.9,1.9,0.5,.017,-4.5,-0.8
2010,NBA,1,6,Ekpe Udoh,Baylor,384,5694,1353,1100,260,.453,.000,.718,14.8,3.5,2.9,0.7,10.4,.088,-1.4,0.8
2009,NBA,1,7,Stephen Curry,Davidson,893,30659,22050,4230,5783,.475,.428,.909,34.3,24.7,4.7,6.5,129.5,.203,6.6,66.7
2008,NBA,1,14,Anthony Randolph,LSU,252,3841,1789,1078,187,.453,.241,.740,15.2,7.1,4.3,0.7,5.8,.072,-1.6,0.4
2008,NBA,2,49,Richard Hendrix,Alabama,,,,,,,,,,,,,,,,
2007,NBA,1,18,Marco Belinelli,,860,19548,8370,1769,1429,.424,.376,.846,22.7,9.7,2.1,1.7,30.5,.075,-1.3,3.3
2007,NBA,2,36,Jermareo Davidson (↳CHA),Alabama,52,433,162,96,14,.425,,.578,8.3,3.1,1.8,0.3,0.0,.000,-5.2,-0.3
2007,NBA,2,46,Stéphane Lasme,UMass,16,303,83,53,3,.451,,.594,18.9,5.2,3.3,0.2,0.3,.041,-4.4,-0.2
2006,NBA,1,9,Patrick O'Bryant,Bradley,90,524,186,127,25,.494,.000,.583,5.8,2.1,1.4,0.3,0.5,.046,-4.6,-0.3
2006,NBA,2,38,Kosta Perović,,7,38,10,13,1,.300,,.667,5.4,1.4,1.9,0.1,0.0,.060,-5.9,0.0
2005,NBA,1,9,Ike Diogu,Arizona State,225,2795,1348,689,69,.509,.500,.786,12.4,6.0,3.1,0.3,6.5,.112,-3.0,-0.7
2005,NBA,2,40,Monta Ellis,,833,29011,14858,2874,3856,.451,.314,.772,34.8,17.8,3.5,4.6,41.9,.069,-0.3,12.4
2005,NBA,2,42,Chris Taft,Pitt,17,144,47,36,2,.605,,.167,8.5,2.8,2.1,0.1,0.5,.155,-0.7,0.0
2004,NBA,1,11,Andris Biedriņš,,516,11146,3247,3631,467,.594,.000,.500,21.6,6.3,7.0,0.9,30.7,.132,-0.4,4.6
2003,NBA,1,11,Mickaël Piétrus,,557,11950,4629,1723,445,.425,.355,.665,21.5,8.3,3.1,0.8,19.7,.079,-0.9,3.2
2003,NBA,2,40,Derrick Zimmerman,Mississippi State,2,32,4,4,7,.667,,,16.0,2.0,2.0,3.5,0.0,.004,-10.4,-0.1
