Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,2,59,,,,,,,,,,,,,,,,,,
2022,NBA,1,18,Dalen Terry,Arizona,42,225,92,41,25,.438,.258,.609,5.4,2.2,1.0,0.6,0.4,.094,-0.3,0.1
2021,NBA,2,38,Ayo Dosunmu,Illinois,168,4374,1424,451,475,.506,.348,.744,26.0,8.5,2.7,2.8,6.3,.069,-2.2,-0.2
2020,NBA,1,4,Patrick Williams,Florida State,183,5026,1717,768,231,.468,.402,.780,27.5,9.4,4.2,1.3,6.8,.065,-1.9,0.1
2020,NBA,2,44,Marko Simonovic,,16,55,23,12,0,.273,.222,.692,3.4,1.4,0.8,0.0,0.0,-0.026,-12.3,-0.1
2019,NBA,1,7,Coby White,UNC,282,7646,3535,943,936,.417,.364,.850,27.1,12.5,3.3,3.3,8.8,.055,-2.2,-0.4
2019,NBA,2,38,Daniel Gafford,Arkansas,257,4684,2068,1249,213,.707,.000,.664,18.2,8.0,4.9,0.8,18.1,.185,1.0,3.5
2018,NBA,1,7,Wendell Carter,Duke,265,7430,3391,2343,544,.514,.321,.730,28.0,12.8,8.8,2.1,18.3,.118,-0.4,3.0
2018,NBA,1,22,Chandler Hutchison,Boise State,103,1790,558,376,79,.442,.309,.643,17.4,5.4,3.7,0.8,1.1,.030,-3.9,-0.9
2017,NBA,1,16,Justin Patton (↳MIN),Creighton,22,296,86,60,19,.404,.250,.667,13.5,3.9,2.7,0.9,0.4,.066,-2.8,-0.1
2017,NBA,2,38,Jordan Bell (↳GSW),Oregon,161,1937,593,497,201,.552,.200,.636,12.0,3.7,3.1,1.2,4.9,.121,0.2,1.1
2016,NBA,1,14,Denzel Valentine,Michigan State,256,4817,1795,857,466,.394,.360,.787,18.8,7.0,3.3,1.8,4.5,.044,-1.9,0.2
2016,NBA,2,48,Paul Zipser,,98,1667,458,256,82,.371,.335,.769,17.0,4.7,2.6,0.8,0.0,-0.001,-5.2,-1.4
2015,NBA,1,22,Bobby Portis,Arkansas,535,11935,6163,3743,659,.475,.380,.755,22.3,11.5,7.0,1.2,27.0,.109,-0.4,4.8
2014,NBA,1,16,Jusuf Nurkić (↳DEN),,475,11527,5828,4088,1106,.500,.288,.673,24.3,12.3,8.6,2.3,26.8,.112,0.4,7.0
2014,NBA,1,19,Gary Harris (↳DEN),Michigan State,523,14796,5984,1277,1033,.449,.371,.813,28.3,11.4,2.4,2.0,23.7,.077,-1.3,2.8
2014,NBA,2,49,Cameron Bairstow,New Mexico,36,167,44,36,7,.296,.200,.846,4.6,1.2,1.0,0.2,-0.1,-0.021,-8.1,-0.3
2013,NBA,1,20,Tony Snell,New Mexico,601,13092,3672,1371,669,.431,.394,.846,21.8,6.1,2.3,1.1,18.5,.068,-2.0,-0.1
2013,NBA,2,49,Erik Murphy,Florida,24,62,6,8,2,.231,.000,,2.6,0.3,0.3,0.1,-0.1,-0.055,-8.6,-0.1
2012,NBA,1,29,Marquis Teague,Kentucky,91,909,217,90,134,.343,.222,.661,10.0,2.4,1.0,1.5,-0.9,-0.045,-6.5,-1.0
2011,NBA,1,28,Norris Cole (↳MIN ↳MIA),Cleveland State University,360,8018,2506,702,981,.407,.324,.743,22.3,7.0,2.0,2.7,3.0,.018,-4.1,-4.1
2011,NBA,1,30,Jimmy Butler,Marquette,764,25341,13904,4091,3212,.468,.325,.843,33.2,18.2,5.4,4.2,107.3,.203,5.0,44.6
2011,NBA,2,43,Malcolm Lee (↳MIN),UCLA,36,534,140,65,51,.382,.294,.703,14.8,3.9,1.8,1.4,0.4,.040,-2.5,-0.1
2010,NBA,1,17,Kevin Séraphin (↳WAS),,423,6430,2516,1462,246,.489,.000,.715,15.2,5.9,3.5,0.6,5.9,.044,-4.3,-3.6
2009,NBA,1,16,James Johnson,Wake Forest,765,15477,5814,2706,1598,.474,.301,.678,20.2,7.6,3.5,2.1,27.5,.085,0.4,9.4
2009,NBA,1,26,Taj Gibson,USC,945,22456,8256,5570,914,.518,.267,.713,23.8,8.7,5.9,1.0,59.7,.128,-0.8,7.0
2008,NBA,1,1,Derrick Rose,Memphis,703,21726,12414,2287,3703,.455,.316,.831,30.9,17.7,3.3,5.3,44.1,.097,1.3,18.2
2008,NBA,2,39,Sonny Weems (↳DEN),Arkansas,183,3335,1189,402,257,.465,.283,.702,18.2,6.5,2.2,1.4,0.0,.001,-4.2,-1.8
2007,NBA,1,9,Joakim Noah,Florida,672,18646,5881,6058,1907,.491,.000,.700,27.7,8.8,9.0,2.8,61.9,.159,2.5,20.9
2007,NBA,2,49,Aaron Gray,Pitt,318,3851,1066,1190,207,.509,.000,.562,12.1,3.4,3.7,0.7,6.2,.077,-3.6,-1.5
2007,NBA,2,51,JamesOn Curry,Oklahoma State,1,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0
