Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,2,35,Julian Phillips (↳WAS ↳CHI),Tennessee,5,14,0,1,0,.000,.000,,2.8,0.0,0.2,0.0,-0.1,-0.219,-17.9,-0.1
2022,NBA,2,53,JD Davison,Alabama,12,66,19,9,11,.421,.286,.500,5.5,1.6,0.8,0.9,0.1,.059,-4.2,0.0
2021,NBA,2,45,Juhann Begarin,,,,,,,,,,,,,,,,,
2020,NBA,1,14,Aaron Nesmith,Vanderbilt,182,3322,1275,532,156,.431,.356,.809,18.3,7.0,2.9,0.9,4.1,.059,-3.0,-0.8
2020,NBA,1,26,Payton Pritchard,Oregon,197,3158,1279,419,365,.424,.391,.888,16.0,6.5,2.1,1.9,6.7,.102,-0.5,1.2
2020,NBA,1,30,Desmond Bane (↳MEM),TCU,213,6008,3536,884,630,.468,.420,.879,28.2,16.6,4.2,3.0,16.7,.133,2.1,6.2
2020,NBA,2,47,Yam Madar,,,,,,,,,,,,,,,,,
2019,NBA,1,14,Romeo Langford,Indiana,141,2268,650,298,97,.430,.288,.659,16.1,4.6,2.1,0.7,2.0,.043,-3.4,-0.8
2019,NBA,1,20,Matisse Thybulle (↳PHI),Washington,279,5717,1313,542,284,.450,.341,.667,20.5,4.7,1.9,1.0,11.7,.098,0.8,4.1
2019,NBA,1,22,Grant Williams,Tennessee,300,6448,1908,1034,359,.452,.387,.765,21.5,6.4,3.4,1.2,12.8,.095,-1.6,0.6
2019,NBA,2,51,Tremont Waters,LSU,40,407,149,37,85,.354,.296,.960,10.2,3.7,0.9,2.1,0.1,.012,-3.0,-0.1
2018,NBA,1,27,Robert Williams,Texas A&M,215,4403,1575,1485,304,.729,.000,.660,20.5,7.3,6.9,1.4,22.6,.247,4.8,7.5
2017,NBA,1,3,Jayson Tatum,Duke,451,15354,10195,3173,1495,.460,.375,.845,34.0,22.6,7.0,3.3,47.4,.148,3.4,20.7
2017,NBA,2,37,Semi Ojeleye,SMU,284,4111,975,613,126,.384,.344,.717,14.5,3.4,2.2,0.4,5.2,.061,-3.4,-1.5
2017,NBA,2,53,Kadeem Allen,Arizona,47,640,258,71,109,.435,.349,.757,13.6,5.5,1.5,2.3,1.0,.075,-1.2,0.1
2017,NBA,2,56,Jabari Bird,California,13,115,39,19,8,.577,.429,.462,8.8,3.0,1.5,0.6,0.2,.098,-3.1,0.0
2016,NBA,1,3,Jaylen Brown,California,481,14337,8680,2508,1090,.476,.366,.723,29.8,18.0,5.2,2.3,30.5,.102,0.3,8.4
2016,NBA,1,16,Guerschon Yabusele,,74,486,173,105,31,.442,.323,.682,6.6,2.3,1.4,0.4,1.1,.105,-1.9,0.0
2016,NBA,1,23,Ante Žižić,,113,1517,674,446,64,.581,,.711,13.4,6.0,3.9,0.6,3.5,.110,-2.6,-0.2
2016,NBA,2,31,Deyonta Davis (↳MEM),Michigan State,107,1299,454,346,47,.599,.000,.635,12.1,4.2,3.2,0.4,3.6,.131,-2.1,0.0
2016,NBA,2,35,Rade Zagorac (↳MEM),,,,,,,,,,,,,,,,,
2016,NBA,2,45,Demetrius Jackson,Notre Dame,26,136,48,19,17,.486,.286,.667,5.2,1.8,0.7,0.7,0.2,.087,-0.5,0.1
2016,NBA,2,51,Ben Bentil,Providence,3,10,0,2,0,.000,.000,,3.3,0.0,0.7,0.0,-0.1,-0.473,-25.9,-0.1
2016,NBA,2,58,Abdel Nader,Iowa State,202,2583,926,376,110,.428,.357,.718,12.8,4.6,1.9,0.5,2.8,.052,-2.6,-0.4
2015,NBA,1,16,Terry Rozier,Louisville,545,14838,7478,2145,1853,.417,.366,.819,27.2,13.7,3.9,3.4,25.9,.084,0.4,9.0
2015,NBA,1,28,R.J. Hunter,Georgia State University,45,395,133,46,19,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,.051,-2.0,0.0
2015,NBA,2,33,Jordan Mickey,LSU,64,482,152,128,17,.449,.118,.605,7.5,2.4,2.0,0.3,0.5,.050,-4.8,-0.3
2015,NBA,2,45,Marcus Thornton,William & Mary,,,,,,,,,,,,,,,,
