Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,25,Marcus Sasser (↳BOS ↳DET),Houston,13,254,118,32,35,.469,.388,1.000,19.5,9.1,2.5,2.7,0.6,.118,0.5,0.2
2023,NBA,2,45,Gregory Jackson,South Carolina,1,1,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,-0.005,-10.7,0.0
2023,NBA,2,56,Tarik Biberovic,,,,,,,,,,,,,,,,,
2022,NBA,1,22,Walker Kessler (↳MIN ↳UTA),Auburn,82,1895,745,683,71,.701,.333,.523,23.1,9.1,8.3,0.9,7.4,.188,2.4,2.1
2022,NBA,1,29,TyTy Washington (↳MIN ↳HOU),Kentucky,33,439,148,46,47,.362,.244,.556,13.3,4.5,1.4,1.4,-0.2,-0.021,-6.4,-0.5
2022,NBA,2,47,Vince Williams,VCU,19,137,42,20,8,.292,.143,.900,7.2,2.2,1.1,0.4,0.0,-0.017,-7.2,-0.2
2021,NBA,1,17,Trey Murphy (↳NOP),Virginia,141,3312,1482,428,150,.461,.400,.900,23.5,10.5,3.0,1.1,9.5,.138,1.0,2.5
2021,NBA,2,51,Brandon Boston Jr. (↳LAC ↳NOP),Kentucky,73,1008,486,141,71,.394,.329,.800,13.8,6.7,1.9,1.0,0.6,.030,-3.0,-0.3
2020,NBA,2,40,Robert Woodard (↳SAC),Mississippi State,25,87,27,27,5,.278,.200,.500,3.5,1.1,1.1,0.2,-0.1,-0.077,-7.7,-0.1
2019,NBA,1,2,Ja Morant,Murray State,248,7964,5557,1193,1830,.472,.321,.753,32.1,22.4,4.8,7.4,19.7,.119,2.8,9.7
2018,NBA,1,4,Jaren Jackson,Michigan State,279,7673,4631,1548,325,.464,.350,.793,27.5,16.6,5.5,1.2,20.1,.126,0.6,5.1
2018,NBA,2,32,Jevon Carter,West Virginia,318,5156,1726,596,533,.402,.400,.805,16.2,5.4,1.9,1.7,8.2,.076,-0.9,1.4
2016,NBA,1,17,Wade Baldwin,Vanderbilt,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.3,-0.5
2016,NBA,2,57,Wang Zhelin,,,,,,,,,,,,,,,,,
2015,NBA,1,25,Jarell Martin,LSU,184,2927,998,639,114,.434,.346,.766,15.9,5.4,3.5,0.6,3.2,.053,-4.3,-1.7
2014,NBA,1,22,Jordan Adams,UCLA,32,263,101,30,19,.402,.385,.607,8.2,3.2,0.9,0.6,0.4,.070,1.7,0.2
2013,NBA,2,41,Jamaal Franklin,San Diego State,24,174,42,25,9,.415,.462,1.000,7.3,1.8,1.0,0.4,0.0,-0.006,-5.9,-0.2
2013,NBA,2,55,Joffrey Lauvergne (↳DEN),,208,2823,1159,789,180,.479,.285,.719,13.6,5.6,3.8,0.9,5.2,.089,-2.1,-0.1
2013,NBA,2,60,Jānis Timma,,,,,,,,,,,,,,,,,
