Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,9,Taylor Hendricks,Central Florida,1,2,1,1,0,,,.500,2.0,1.0,1.0,0.0,0.0,.130,-2.7,0.0
2023,NBA,1,16,Keyonte George,Baylor,12,282,103,30,59,.393,.327,.800,23.5,8.6,2.5,4.9,0.2,.030,-4.1,-0.2
2023,NBA,1,28,Brice Sensabaugh,Ohio State,1,2,0,2,0,.000,,,2.0,0.0,2.0,0.0,0.0,-0.642,-30.0,0.0
2021,NBA,1,30,Santi Aldama (↳MEM),Loyola (MD),115,2183,903,491,130,.458,.322,.713,19.0,7.9,4.3,1.1,5.0,.110,-0.6,0.8
2020,NBA,1,27,Udoka Azubuike (↳UTA),Kansas,70,620,223,207,11,.771,,.512,8.9,3.2,3.0,0.2,1.8,.140,-1.2,0.1
2020,NBA,2,38,Saben Lee (↳DET ↳UTA),Vanderbilt,113,1768,632,232,351,.428,.289,.733,15.6,5.6,2.1,3.1,3.1,.085,-1.4,0.3
2019,NBA,1,23,Darius Bazley (↳MEM ↳OKC),,228,5384,2065,1216,275,.411,.310,.673,23.6,9.1,5.3,1.2,2.8,.025,-2.5,-0.6
2019,NBA,2,53,Justin Wright-Foreman,Hofstra,4,45,19,5,7,.350,.200,.750,11.3,4.8,1.3,1.8,0.0,-0.008,-9.0,-0.1
2018,NBA,1,21,Grayson Allen,Duke,276,6541,2702,784,480,.437,.400,.865,23.7,9.8,2.8,1.7,13.8,.101,-0.5,2.4
2018,NBA,2,52,Vince Edwards (↳HOU),Purdue,2,16,3,2,0,.250,.250,,8.0,1.5,1.0,0.0,0.0,-0.014,-6.4,0.0
2017,NBA,1,24,Tyler Lydon (↳DEN),Syracuse,26,96,23,18,6,.500,.400,.333,3.7,0.9,0.7,0.2,0.2,.084,-4.3,-0.1
2017,NBA,1,30,Josh Hart (↳LAL),Villanova,385,10903,3757,2378,940,.463,.349,.741,28.3,9.8,6.2,2.4,22.5,.099,-0.1,5.4
