Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,6,Anthony Black,Arkansas,10,190,55,19,14,.550,.333,.600,19.0,5.5,1.9,1.4,0.4,.092,-2.8,0.0
2023,NBA,1,11,Jett Howard,Michigan,4,16,2,2,1,.125,.000,,4.0,0.5,0.5,0.3,-0.1,-0.260,-19.3,-0.1
2023,NBA,2,36,Andre Jackson (↳MIL),UConn,9,85,17,14,9,.538,.429,,9.4,1.9,1.6,1.0,0.1,.061,-4.1,0.0
2022,NBA,1,1,Paolo Banchero,Duke,84,2835,1656,582,327,.430,.308,.724,33.8,19.7,6.9,3.9,3.0,.051,-1.3,0.5
2022,NBA,2,32,Caleb Houstan,Michigan,57,848,211,104,31,.373,.349,.842,14.9,3.7,1.8,0.5,0.8,.046,-3.6,-0.4
2021,NBA,1,5,Jalen Suggs,Gonzaga,112,2860,1219,377,396,.387,.278,.759,25.5,10.9,3.4,3.5,0.4,.006,-3.0,-0.7
2021,NBA,1,8,Franz Wagner,Michigan,171,5442,2904,751,553,.472,.352,.849,31.8,17.0,4.4,3.2,10.0,.089,-0.5,2.1
2021,NBA,2,33,Jason Preston (↳LAC),Ohio University,14,124,41,22,27,.439,.278,.000,8.9,2.9,1.6,1.9,0.1,.021,-2.6,0.0
2020,NBA,1,15,Cole Anthony,UNC,184,5182,2607,911,833,.411,.345,.858,28.2,14.2,5.0,4.5,6.0,.055,-1.0,1.3
2019,NBA,1,16,Chuma Okeke,Auburn,147,3416,1084,630,257,.385,.321,.802,23.2,7.4,4.3,1.7,4.1,.058,-0.8,1.0
2019,NBA,2,46,Talen Horton-Tucker (↳LAL),Iowa State,208,4483,2027,617,651,.429,.284,.772,21.6,9.7,3.0,3.1,4.1,.044,-2.1,-0.1
